Query ID,Hit ID,Description,E-value,Score,Query Length,Alignment Length,Identity
NG_008477.2,gi|242380115|emb|AL593848.15|,"Human DNA sequence from clone RP13-100B2 on chromosome 9, complete sequence",7.63296e-70,312.0,11730,296,242
NG_008477.2,gi|242380115|emb|AL593848.15|,"Human DNA sequence from clone RP13-100B2 on chromosome 9, complete sequence",7.63296e-70,312.0,11730,302,248
NG_008477.2,gi|242380115|emb|AL593848.15|,"Human DNA sequence from clone RP13-100B2 on chromosome 9, complete sequence",7.63296e-70,312.0,11730,298,244
NG_008477.2,gi|242380115|emb|AL593848.15|,"Human DNA sequence from clone RP13-100B2 on chromosome 9, complete sequence",2.66416e-69,311.0,11730,301,247
NG_008477.2,gi|242380115|emb|AL593848.15|,"Human DNA sequence from clone RP13-100B2 on chromosome 9, complete sequence",9.29885e-69,309.0,11730,302,245
NG_008477.2,gi|242380115|emb|AL593848.15|,"Human DNA sequence from clone RP13-100B2 on chromosome 9, complete sequence",9.29885e-69,309.0,11730,294,240
NG_008477.2,gi|242380115|emb|AL593848.15|,"Human DNA sequence from clone RP13-100B2 on chromosome 9, complete sequence",3.24562e-68,306.0,11730,300,245
NG_008477.2,gi|242380115|emb|AL593848.15|,"Human DNA sequence from clone RP13-100B2 on chromosome 9, complete sequence",1.13283e-67,305.0,11730,301,244
NG_008477.2,gi|242380115|emb|AL593848.15|,"Human DNA sequence from clone RP13-100B2 on chromosome 9, complete sequence",1.13283e-67,305.0,11730,269,226
NG_008477.2,gi|242380115|emb|AL593848.15|,"Human DNA sequence from clone RP13-100B2 on chromosome 9, complete sequence",1.13283e-67,304.0,11730,309,249
NG_008477.2,gi|242380115|emb|AL593848.15|,"Human DNA sequence from clone RP13-100B2 on chromosome 9, complete sequence",3.95397e-67,303.0,11730,297,241
NG_008477.2,gi|16944878|emb|AL158826.23|,"Human DNA sequence from clone RP11-244N20 on chromosome 9 Contains the 5' end of the ABO gene for ABO blood group (transferase A alpha 1-3-N-acetylgalactosaminyltransferase; transferase B alpha 1-3-galactosyltransferase) pseudogene ABO-*O02 allele, the gene for a novel protein similar to lipocalin 1 (protein migrating faster than albumin tear prealbumin) (LCN1), a ribosomal protein L21 (RPL21) pseudogene, the RPL7A gene for ribosomal protein L7a, a novel gene (MGC43306), the XPMC2H gene for Xenopus prevents mitotic catastrophe 2 homolog, the 5' end of the ADAMTS13 gene for a disintegrin-like and metalloprotease (reprolysin type) with thrombospondin type 1 motif 13, the SURF1 gene for surfeit 1, the SURF2 gene for surfeit 2, the SURF4 gene for surfeit 4, the SURF5 gene for surfeit 5, the SURF6 gene for surfeit 6 and eight CpG islands, complete sequence",0.0,23373.0,11730,11751,11722
NG_008477.2,gi|16944878|emb|AL158826.23|,"Human DNA sequence from clone RP11-244N20 on chromosome 9 Contains the 5' end of the ABO gene for ABO blood group (transferase A alpha 1-3-N-acetylgalactosaminyltransferase; transferase B alpha 1-3-galactosyltransferase) pseudogene ABO-*O02 allele, the gene for a novel protein similar to lipocalin 1 (protein migrating faster than albumin tear prealbumin) (LCN1), a ribosomal protein L21 (RPL21) pseudogene, the RPL7A gene for ribosomal protein L7a, a novel gene (MGC43306), the XPMC2H gene for Xenopus prevents mitotic catastrophe 2 homolog, the 5' end of the ADAMTS13 gene for a disintegrin-like and metalloprotease (reprolysin type) with thrombospondin type 1 motif 13, the SURF1 gene for surfeit 1, the SURF2 gene for surfeit 2, the SURF4 gene for surfeit 4, the SURF5 gene for surfeit 5, the SURF6 gene for surfeit 6 and eight CpG islands, complete sequence",3.24275e-87,376.0,11730,297,256
NG_008477.2,gi|16944878|emb|AL158826.23|,"Human DNA sequence from clone RP11-244N20 on chromosome 9 Contains the 5' end of the ABO gene for ABO blood group (transferase A alpha 1-3-N-acetylgalactosaminyltransferase; transferase B alpha 1-3-galactosyltransferase) pseudogene ABO-*O02 allele, the gene for a novel protein similar to lipocalin 1 (protein migrating faster than albumin tear prealbumin) (LCN1), a ribosomal protein L21 (RPL21) pseudogene, the RPL7A gene for ribosomal protein L7a, a novel gene (MGC43306), the XPMC2H gene for Xenopus prevents mitotic catastrophe 2 homolog, the 5' end of the ADAMTS13 gene for a disintegrin-like and metalloprotease (reprolysin type) with thrombospondin type 1 motif 13, the SURF1 gene for surfeit 1, the SURF2 gene for surfeit 2, the SURF4 gene for surfeit 4, the SURF5 gene for surfeit 5, the SURF6 gene for surfeit 6 and eight CpG islands, complete sequence",3.03713e-81,355.0,11730,301,255
NG_008477.2,gi|16944878|emb|AL158826.23|,"Human DNA sequence from clone RP11-244N20 on chromosome 9 Contains the 5' end of the ABO gene for ABO blood group (transferase A alpha 1-3-N-acetylgalactosaminyltransferase; transferase B alpha 1-3-galactosyltransferase) pseudogene ABO-*O02 allele, the gene for a novel protein similar to lipocalin 1 (protein migrating faster than albumin tear prealbumin) (LCN1), a ribosomal protein L21 (RPL21) pseudogene, the RPL7A gene for ribosomal protein L7a, a novel gene (MGC43306), the XPMC2H gene for Xenopus prevents mitotic catastrophe 2 homolog, the 5' end of the ADAMTS13 gene for a disintegrin-like and metalloprotease (reprolysin type) with thrombospondin type 1 motif 13, the SURF1 gene for surfeit 1, the SURF2 gene for surfeit 2, the SURF4 gene for surfeit 4, the SURF5 gene for surfeit 5, the SURF6 gene for surfeit 6 and eight CpG islands, complete sequence",1.29142e-79,348.0,11730,299,253
NG_008477.2,gi|16944878|emb|AL158826.23|,"Human DNA sequence from clone RP11-244N20 on chromosome 9 Contains the 5' end of the ABO gene for ABO blood group (transferase A alpha 1-3-N-acetylgalactosaminyltransferase; transferase B alpha 1-3-galactosyltransferase) pseudogene ABO-*O02 allele, the gene for a novel protein similar to lipocalin 1 (protein migrating faster than albumin tear prealbumin) (LCN1), a ribosomal protein L21 (RPL21) pseudogene, the RPL7A gene for ribosomal protein L7a, a novel gene (MGC43306), the XPMC2H gene for Xenopus prevents mitotic catastrophe 2 homolog, the 5' end of the ADAMTS13 gene for a disintegrin-like and metalloprotease (reprolysin type) with thrombospondin type 1 motif 13, the SURF1 gene for surfeit 1, the SURF2 gene for surfeit 2, the SURF4 gene for surfeit 4, the SURF5 gene for surfeit 5, the SURF6 gene for surfeit 6 and eight CpG islands, complete sequence",4.50749e-79,347.0,11730,284,241
NG_008477.2,gi|16944878|emb|AL158826.23|,"Human DNA sequence from clone RP11-244N20 on chromosome 9 Contains the 5' end of the ABO gene for ABO blood group (transferase A alpha 1-3-N-acetylgalactosaminyltransferase; transferase B alpha 1-3-galactosyltransferase) pseudogene ABO-*O02 allele, the gene for a novel protein similar to lipocalin 1 (protein migrating faster than albumin tear prealbumin) (LCN1), a ribosomal protein L21 (RPL21) pseudogene, the RPL7A gene for ribosomal protein L7a, a novel gene (MGC43306), the XPMC2H gene for Xenopus prevents mitotic catastrophe 2 homolog, the 5' end of the ADAMTS13 gene for a disintegrin-like and metalloprotease (reprolysin type) with thrombospondin type 1 motif 13, the SURF1 gene for surfeit 1, the SURF2 gene for surfeit 2, the SURF4 gene for surfeit 4, the SURF5 gene for surfeit 5, the SURF6 gene for surfeit 6 and eight CpG islands, complete sequence",4.50749e-79,346.0,11730,280,240
NG_008477.2,gi|16944878|emb|AL158826.23|,"Human DNA sequence from clone RP11-244N20 on chromosome 9 Contains the 5' end of the ABO gene for ABO blood group (transferase A alpha 1-3-N-acetylgalactosaminyltransferase; transferase B alpha 1-3-galactosyltransferase) pseudogene ABO-*O02 allele, the gene for a novel protein similar to lipocalin 1 (protein migrating faster than albumin tear prealbumin) (LCN1), a ribosomal protein L21 (RPL21) pseudogene, the RPL7A gene for ribosomal protein L7a, a novel gene (MGC43306), the XPMC2H gene for Xenopus prevents mitotic catastrophe 2 homolog, the 5' end of the ADAMTS13 gene for a disintegrin-like and metalloprotease (reprolysin type) with thrombospondin type 1 motif 13, the SURF1 gene for surfeit 1, the SURF2 gene for surfeit 2, the SURF4 gene for surfeit 4, the SURF5 gene for surfeit 5, the SURF6 gene for surfeit 6 and eight CpG islands, complete sequence",5.49125e-78,342.0,11730,299,251
NG_008477.2,gi|16944878|emb|AL158826.23|,"Human DNA sequence from clone RP11-244N20 on chromosome 9 Contains the 5' end of the ABO gene for ABO blood group (transferase A alpha 1-3-N-acetylgalactosaminyltransferase; transferase B alpha 1-3-galactosyltransferase) pseudogene ABO-*O02 allele, the gene for a novel protein similar to lipocalin 1 (protein migrating faster than albumin tear prealbumin) (LCN1), a ribosomal protein L21 (RPL21) pseudogene, the RPL7A gene for ribosomal protein L7a, a novel gene (MGC43306), the XPMC2H gene for Xenopus prevents mitotic catastrophe 2 homolog, the 5' end of the ADAMTS13 gene for a disintegrin-like and metalloprotease (reprolysin type) with thrombospondin type 1 motif 13, the SURF1 gene for surfeit 1, the SURF2 gene for surfeit 2, the SURF4 gene for surfeit 4, the SURF5 gene for surfeit 5, the SURF6 gene for surfeit 6 and eight CpG islands, complete sequence",1.91664e-77,340.0,11730,293,247
NG_008477.2,gi|16944878|emb|AL158826.23|,"Human DNA sequence from clone RP11-244N20 on chromosome 9 Contains the 5' end of the ABO gene for ABO blood group (transferase A alpha 1-3-N-acetylgalactosaminyltransferase; transferase B alpha 1-3-galactosyltransferase) pseudogene ABO-*O02 allele, the gene for a novel protein similar to lipocalin 1 (protein migrating faster than albumin tear prealbumin) (LCN1), a ribosomal protein L21 (RPL21) pseudogene, the RPL7A gene for ribosomal protein L7a, a novel gene (MGC43306), the XPMC2H gene for Xenopus prevents mitotic catastrophe 2 homolog, the 5' end of the ADAMTS13 gene for a disintegrin-like and metalloprotease (reprolysin type) with thrombospondin type 1 motif 13, the SURF1 gene for surfeit 1, the SURF2 gene for surfeit 2, the SURF4 gene for surfeit 4, the SURF5 gene for surfeit 5, the SURF6 gene for surfeit 6 and eight CpG islands, complete sequence",1.91664e-77,340.0,11730,302,254
NG_008477.2,gi|16944878|emb|AL158826.23|,"Human DNA sequence from clone RP11-244N20 on chromosome 9 Contains the 5' end of the ABO gene for ABO blood group (transferase A alpha 1-3-N-acetylgalactosaminyltransferase; transferase B alpha 1-3-galactosyltransferase) pseudogene ABO-*O02 allele, the gene for a novel protein similar to lipocalin 1 (protein migrating faster than albumin tear prealbumin) (LCN1), a ribosomal protein L21 (RPL21) pseudogene, the RPL7A gene for ribosomal protein L7a, a novel gene (MGC43306), the XPMC2H gene for Xenopus prevents mitotic catastrophe 2 homolog, the 5' end of the ADAMTS13 gene for a disintegrin-like and metalloprotease (reprolysin type) with thrombospondin type 1 motif 13, the SURF1 gene for surfeit 1, the SURF2 gene for surfeit 2, the SURF4 gene for surfeit 4, the SURF5 gene for surfeit 5, the SURF6 gene for surfeit 6 and eight CpG islands, complete sequence",2.33494e-76,337.0,11730,302,253
NG_008477.2,gi|16944878|emb|AL158826.23|,"Human DNA sequence from clone RP11-244N20 on chromosome 9 Contains the 5' end of the ABO gene for ABO blood group (transferase A alpha 1-3-N-acetylgalactosaminyltransferase; transferase B alpha 1-3-galactosyltransferase) pseudogene ABO-*O02 allele, the gene for a novel protein similar to lipocalin 1 (protein migrating faster than albumin tear prealbumin) (LCN1), a ribosomal protein L21 (RPL21) pseudogene, the RPL7A gene for ribosomal protein L7a, a novel gene (MGC43306), the XPMC2H gene for Xenopus prevents mitotic catastrophe 2 homolog, the 5' end of the ADAMTS13 gene for a disintegrin-like and metalloprotease (reprolysin type) with thrombospondin type 1 motif 13, the SURF1 gene for surfeit 1, the SURF2 gene for surfeit 2, the SURF4 gene for surfeit 4, the SURF5 gene for surfeit 5, the SURF6 gene for surfeit 6 and eight CpG islands, complete sequence",2.33494e-76,337.0,11730,297,249
NG_008477.2,gi|16944878|emb|AL158826.23|,"Human DNA sequence from clone RP11-244N20 on chromosome 9 Contains the 5' end of the ABO gene for ABO blood group (transferase A alpha 1-3-N-acetylgalactosaminyltransferase; transferase B alpha 1-3-galactosyltransferase) pseudogene ABO-*O02 allele, the gene for a novel protein similar to lipocalin 1 (protein migrating faster than albumin tear prealbumin) (LCN1), a ribosomal protein L21 (RPL21) pseudogene, the RPL7A gene for ribosomal protein L7a, a novel gene (MGC43306), the XPMC2H gene for Xenopus prevents mitotic catastrophe 2 homolog, the 5' end of the ADAMTS13 gene for a disintegrin-like and metalloprotease (reprolysin type) with thrombospondin type 1 motif 13, the SURF1 gene for surfeit 1, the SURF2 gene for surfeit 2, the SURF4 gene for surfeit 4, the SURF5 gene for surfeit 5, the SURF6 gene for surfeit 6 and eight CpG islands, complete sequence",8.14974e-76,334.0,11730,302,252
NG_008477.2,gi|16944878|emb|AL158826.23|,"Human DNA sequence from clone RP11-244N20 on chromosome 9 Contains the 5' end of the ABO gene for ABO blood group (transferase A alpha 1-3-N-acetylgalactosaminyltransferase; transferase B alpha 1-3-galactosyltransferase) pseudogene ABO-*O02 allele, the gene for a novel protein similar to lipocalin 1 (protein migrating faster than albumin tear prealbumin) (LCN1), a ribosomal protein L21 (RPL21) pseudogene, the RPL7A gene for ribosomal protein L7a, a novel gene (MGC43306), the XPMC2H gene for Xenopus prevents mitotic catastrophe 2 homolog, the 5' end of the ADAMTS13 gene for a disintegrin-like and metalloprotease (reprolysin type) with thrombospondin type 1 motif 13, the SURF1 gene for surfeit 1, the SURF2 gene for surfeit 2, the SURF4 gene for surfeit 4, the SURF5 gene for surfeit 5, the SURF6 gene for surfeit 6 and eight CpG islands, complete sequence",2.84454e-75,332.0,11730,296,246
NG_008477.2,gi|16944878|emb|AL158826.23|,"Human DNA sequence from clone RP11-244N20 on chromosome 9 Contains the 5' end of the ABO gene for ABO blood group (transferase A alpha 1-3-N-acetylgalactosaminyltransferase; transferase B alpha 1-3-galactosyltransferase) pseudogene ABO-*O02 allele, the gene for a novel protein similar to lipocalin 1 (protein migrating faster than albumin tear prealbumin) (LCN1), a ribosomal protein L21 (RPL21) pseudogene, the RPL7A gene for ribosomal protein L7a, a novel gene (MGC43306), the XPMC2H gene for Xenopus prevents mitotic catastrophe 2 homolog, the 5' end of the ADAMTS13 gene for a disintegrin-like and metalloprotease (reprolysin type) with thrombospondin type 1 motif 13, the SURF1 gene for surfeit 1, the SURF2 gene for surfeit 2, the SURF4 gene for surfeit 4, the SURF5 gene for surfeit 5, the SURF6 gene for surfeit 6 and eight CpG islands, complete sequence",4.22167e-73,325.0,11730,295,244
NG_008477.2,gi|16944878|emb|AL158826.23|,"Human DNA sequence from clone RP11-244N20 on chromosome 9 Contains the 5' end of the ABO gene for ABO blood group (transferase A alpha 1-3-N-acetylgalactosaminyltransferase; transferase B alpha 1-3-galactosyltransferase) pseudogene ABO-*O02 allele, the gene for a novel protein similar to lipocalin 1 (protein migrating faster than albumin tear prealbumin) (LCN1), a ribosomal protein L21 (RPL21) pseudogene, the RPL7A gene for ribosomal protein L7a, a novel gene (MGC43306), the XPMC2H gene for Xenopus prevents mitotic catastrophe 2 homolog, the 5' end of the ADAMTS13 gene for a disintegrin-like and metalloprotease (reprolysin type) with thrombospondin type 1 motif 13, the SURF1 gene for surfeit 1, the SURF2 gene for surfeit 2, the SURF4 gene for surfeit 4, the SURF5 gene for surfeit 5, the SURF6 gene for surfeit 6 and eight CpG islands, complete sequence",4.22167e-73,325.0,11730,289,242
NG_008477.2,gi|16944878|emb|AL158826.23|,"Human DNA sequence from clone RP11-244N20 on chromosome 9 Contains the 5' end of the ABO gene for ABO blood group (transferase A alpha 1-3-N-acetylgalactosaminyltransferase; transferase B alpha 1-3-galactosyltransferase) pseudogene ABO-*O02 allele, the gene for a novel protein similar to lipocalin 1 (protein migrating faster than albumin tear prealbumin) (LCN1), a ribosomal protein L21 (RPL21) pseudogene, the RPL7A gene for ribosomal protein L7a, a novel gene (MGC43306), the XPMC2H gene for Xenopus prevents mitotic catastrophe 2 homolog, the 5' end of the ADAMTS13 gene for a disintegrin-like and metalloprotease (reprolysin type) with thrombospondin type 1 motif 13, the SURF1 gene for surfeit 1, the SURF2 gene for surfeit 2, the SURF4 gene for surfeit 4, the SURF5 gene for surfeit 5, the SURF6 gene for surfeit 6 and eight CpG islands, complete sequence",1.47351e-72,323.0,11730,289,242
NG_008477.2,gi|16944878|emb|AL158826.23|,"Human DNA sequence from clone RP11-244N20 on chromosome 9 Contains the 5' end of the ABO gene for ABO blood group (transferase A alpha 1-3-N-acetylgalactosaminyltransferase; transferase B alpha 1-3-galactosyltransferase) pseudogene ABO-*O02 allele, the gene for a novel protein similar to lipocalin 1 (protein migrating faster than albumin tear prealbumin) (LCN1), a ribosomal protein L21 (RPL21) pseudogene, the RPL7A gene for ribosomal protein L7a, a novel gene (MGC43306), the XPMC2H gene for Xenopus prevents mitotic catastrophe 2 homolog, the 5' end of the ADAMTS13 gene for a disintegrin-like and metalloprotease (reprolysin type) with thrombospondin type 1 motif 13, the SURF1 gene for surfeit 1, the SURF2 gene for surfeit 2, the SURF4 gene for surfeit 4, the SURF5 gene for surfeit 5, the SURF6 gene for surfeit 6 and eight CpG islands, complete sequence",5.14305e-72,320.0,11730,310,251
NG_008477.2,gi|16944878|emb|AL158826.23|,"Human DNA sequence from clone RP11-244N20 on chromosome 9 Contains the 5' end of the ABO gene for ABO blood group (transferase A alpha 1-3-N-acetylgalactosaminyltransferase; transferase B alpha 1-3-galactosyltransferase) pseudogene ABO-*O02 allele, the gene for a novel protein similar to lipocalin 1 (protein migrating faster than albumin tear prealbumin) (LCN1), a ribosomal protein L21 (RPL21) pseudogene, the RPL7A gene for ribosomal protein L7a, a novel gene (MGC43306), the XPMC2H gene for Xenopus prevents mitotic catastrophe 2 homolog, the 5' end of the ADAMTS13 gene for a disintegrin-like and metalloprotease (reprolysin type) with thrombospondin type 1 motif 13, the SURF1 gene for surfeit 1, the SURF2 gene for surfeit 2, the SURF4 gene for surfeit 4, the SURF5 gene for surfeit 5, the SURF6 gene for surfeit 6 and eight CpG islands, complete sequence",1.7951e-71,319.0,11730,289,240
NG_008477.2,gi|16944878|emb|AL158826.23|,"Human DNA sequence from clone RP11-244N20 on chromosome 9 Contains the 5' end of the ABO gene for ABO blood group (transferase A alpha 1-3-N-acetylgalactosaminyltransferase; transferase B alpha 1-3-galactosyltransferase) pseudogene ABO-*O02 allele, the gene for a novel protein similar to lipocalin 1 (protein migrating faster than albumin tear prealbumin) (LCN1), a ribosomal protein L21 (RPL21) pseudogene, the RPL7A gene for ribosomal protein L7a, a novel gene (MGC43306), the XPMC2H gene for Xenopus prevents mitotic catastrophe 2 homolog, the 5' end of the ADAMTS13 gene for a disintegrin-like and metalloprotease (reprolysin type) with thrombospondin type 1 motif 13, the SURF1 gene for surfeit 1, the SURF2 gene for surfeit 2, the SURF4 gene for surfeit 4, the SURF5 gene for surfeit 5, the SURF6 gene for surfeit 6 and eight CpG islands, complete sequence",1.7951e-71,318.0,11730,297,246
NG_008477.2,gi|16944878|emb|AL158826.23|,"Human DNA sequence from clone RP11-244N20 on chromosome 9 Contains the 5' end of the ABO gene for ABO blood group (transferase A alpha 1-3-N-acetylgalactosaminyltransferase; transferase B alpha 1-3-galactosyltransferase) pseudogene ABO-*O02 allele, the gene for a novel protein similar to lipocalin 1 (protein migrating faster than albumin tear prealbumin) (LCN1), a ribosomal protein L21 (RPL21) pseudogene, the RPL7A gene for ribosomal protein L7a, a novel gene (MGC43306), the XPMC2H gene for Xenopus prevents mitotic catastrophe 2 homolog, the 5' end of the ADAMTS13 gene for a disintegrin-like and metalloprotease (reprolysin type) with thrombospondin type 1 motif 13, the SURF1 gene for surfeit 1, the SURF2 gene for surfeit 2, the SURF4 gene for surfeit 4, the SURF5 gene for surfeit 5, the SURF6 gene for surfeit 6 and eight CpG islands, complete sequence",6.26551e-71,317.0,11730,295,243
NG_008477.2,gi|16944878|emb|AL158826.23|,"Human DNA sequence from clone RP11-244N20 on chromosome 9 Contains the 5' end of the ABO gene for ABO blood group (transferase A alpha 1-3-N-acetylgalactosaminyltransferase; transferase B alpha 1-3-galactosyltransferase) pseudogene ABO-*O02 allele, the gene for a novel protein similar to lipocalin 1 (protein migrating faster than albumin tear prealbumin) (LCN1), a ribosomal protein L21 (RPL21) pseudogene, the RPL7A gene for ribosomal protein L7a, a novel gene (MGC43306), the XPMC2H gene for Xenopus prevents mitotic catastrophe 2 homolog, the 5' end of the ADAMTS13 gene for a disintegrin-like and metalloprotease (reprolysin type) with thrombospondin type 1 motif 13, the SURF1 gene for surfeit 1, the SURF2 gene for surfeit 2, the SURF4 gene for surfeit 4, the SURF5 gene for surfeit 5, the SURF6 gene for surfeit 6 and eight CpG islands, complete sequence",6.26551e-71,316.0,11730,306,251
NG_008477.2,gi|16944878|emb|AL158826.23|,"Human DNA sequence from clone RP11-244N20 on chromosome 9 Contains the 5' end of the ABO gene for ABO blood group (transferase A alpha 1-3-N-acetylgalactosaminyltransferase; transferase B alpha 1-3-galactosyltransferase) pseudogene ABO-*O02 allele, the gene for a novel protein similar to lipocalin 1 (protein migrating faster than albumin tear prealbumin) (LCN1), a ribosomal protein L21 (RPL21) pseudogene, the RPL7A gene for ribosomal protein L7a, a novel gene (MGC43306), the XPMC2H gene for Xenopus prevents mitotic catastrophe 2 homolog, the 5' end of the ADAMTS13 gene for a disintegrin-like and metalloprotease (reprolysin type) with thrombospondin type 1 motif 13, the SURF1 gene for surfeit 1, the SURF2 gene for surfeit 2, the SURF4 gene for surfeit 4, the SURF5 gene for surfeit 5, the SURF6 gene for surfeit 6 and eight CpG islands, complete sequence",2.18688e-70,314.0,11730,299,245
NG_008477.2,gi|16944878|emb|AL158826.23|,"Human DNA sequence from clone RP11-244N20 on chromosome 9 Contains the 5' end of the ABO gene for ABO blood group (transferase A alpha 1-3-N-acetylgalactosaminyltransferase; transferase B alpha 1-3-galactosyltransferase) pseudogene ABO-*O02 allele, the gene for a novel protein similar to lipocalin 1 (protein migrating faster than albumin tear prealbumin) (LCN1), a ribosomal protein L21 (RPL21) pseudogene, the RPL7A gene for ribosomal protein L7a, a novel gene (MGC43306), the XPMC2H gene for Xenopus prevents mitotic catastrophe 2 homolog, the 5' end of the ADAMTS13 gene for a disintegrin-like and metalloprotease (reprolysin type) with thrombospondin type 1 motif 13, the SURF1 gene for surfeit 1, the SURF2 gene for surfeit 2, the SURF4 gene for surfeit 4, the SURF5 gene for surfeit 5, the SURF6 gene for surfeit 6 and eight CpG islands, complete sequence",7.63296e-70,313.0,11730,296,243
NG_008477.2,gi|16944878|emb|AL158826.23|,"Human DNA sequence from clone RP11-244N20 on chromosome 9 Contains the 5' end of the ABO gene for ABO blood group (transferase A alpha 1-3-N-acetylgalactosaminyltransferase; transferase B alpha 1-3-galactosyltransferase) pseudogene ABO-*O02 allele, the gene for a novel protein similar to lipocalin 1 (protein migrating faster than albumin tear prealbumin) (LCN1), a ribosomal protein L21 (RPL21) pseudogene, the RPL7A gene for ribosomal protein L7a, a novel gene (MGC43306), the XPMC2H gene for Xenopus prevents mitotic catastrophe 2 homolog, the 5' end of the ADAMTS13 gene for a disintegrin-like and metalloprotease (reprolysin type) with thrombospondin type 1 motif 13, the SURF1 gene for surfeit 1, the SURF2 gene for surfeit 2, the SURF4 gene for surfeit 4, the SURF5 gene for surfeit 5, the SURF6 gene for surfeit 6 and eight CpG islands, complete sequence",7.63296e-70,313.0,11730,285,237
NG_008477.2,gi|16944878|emb|AL158826.23|,"Human DNA sequence from clone RP11-244N20 on chromosome 9 Contains the 5' end of the ABO gene for ABO blood group (transferase A alpha 1-3-N-acetylgalactosaminyltransferase; transferase B alpha 1-3-galactosyltransferase) pseudogene ABO-*O02 allele, the gene for a novel protein similar to lipocalin 1 (protein migrating faster than albumin tear prealbumin) (LCN1), a ribosomal protein L21 (RPL21) pseudogene, the RPL7A gene for ribosomal protein L7a, a novel gene (MGC43306), the XPMC2H gene for Xenopus prevents mitotic catastrophe 2 homolog, the 5' end of the ADAMTS13 gene for a disintegrin-like and metalloprotease (reprolysin type) with thrombospondin type 1 motif 13, the SURF1 gene for surfeit 1, the SURF2 gene for surfeit 2, the SURF4 gene for surfeit 4, the SURF5 gene for surfeit 5, the SURF6 gene for surfeit 6 and eight CpG islands, complete sequence",7.63296e-70,312.0,11730,296,242
